date,fgi,sentiment,indicators_available,price_momentum,market_breadth,volatility,volume,margin_sentiment,limit_ratio,northbound,turnover
2025-07-22,80.0453514739229,极度贪婪,7,73.80952380952381,85.51587301587301,92.06349206349206,92.06349206349206,,50.99206349206349,82.53968253968253,83.33333333333334
2025-07-23,82.4829931972789,极度贪婪,7,72.22222222222221,88.09523809523809,96.03174603174604,89.68253968253968,,71.03174603174604,76.19047619047619,84.12698412698413
2025-07-24,85.88435374149661,极度贪婪,7,76.5873015873016,92.46031746031747,92.85714285714286,89.28571428571429,,94.84126984126983,75.0,80.15873015873017
2025-07-25,75.70861678004535,贪婪,7,72.61904761904762,83.33333333333334,97.22222222222223,86.90476190476191,,37.89682539682539,75.0,76.98412698412699
2025-07-28,76.6156462585034,贪婪,7,73.80952380952381,81.94444444444444,97.22222222222223,86.5079365079365,,53.17460317460318,74.20634920634922,69.44444444444444
2025-07-29,80.81065759637188,极度贪婪,7,76.19047619047619,78.96825396825396,97.22222222222223,88.4920634920635,,69.64285714285714,82.14285714285714,73.01587301587301
2025-07-30,76.44557823129252,贪婪,7,75.39682539682539,78.96825396825396,96.82539682539682,88.4920634920635,,39.48412698412698,79.76190476190477,76.19047619047619
2025-07-31,72.1938775510204,贪婪,7,62.301587301587304,52.38095238095239,78.57142857142857,93.25396825396825,,57.738095238095234,82.53968253968253,78.57142857142857
2025-08-01,62.32993197278911,贪婪,7,58.333333333333336,49.60317460317461,77.38095238095238,75.79365079365078,,49.404761904761905,67.46031746031747,58.333333333333336
2025-08-04,60.40249433106577,贪婪,7,61.50793650793651,51.78571428571429,77.38095238095238,67.46031746031747,,50.0,67.46031746031747,47.22222222222222
2025-08-05,67.9705215419501,贪婪,7,64.68253968253968,61.904761904761905,80.15873015873015,75.39682539682539,,80.95238095238095,59.12698412698413,53.57142857142857
2025-08-06,68.31065759637188,贪婪,7,65.87301587301587,65.87301587301587,82.93650793650794,81.34920634920636,,65.87301587301587,51.98412698412699,64.28571428571429
2025-08-07,65.75963718820863,贪婪,7,65.47619047619048,67.46031746031747,84.92063492063492,87.3015873015873,,35.317460317460316,51.98412698412699,67.85714285714286
2025-08-08,63.52040816326531,贪婪,7,62.301587301587304,58.730158730158735,89.28571428571429,79.36507936507937,,73.61111111111111,17.857142857142858,63.49206349206349
2025-08-11,71.62698412698413,贪婪,7,65.47619047619048,68.65079365079364,88.4920634920635,85.71428571428571,,61.70634920634921,63.095238095238095,68.25396825396825
2025-08-12,72.61904761904762,贪婪,7,68.25396825396825,71.42857142857143,86.9047619047619,86.5079365079365,,62.301587301587304,62.301587301587304,70.63492063492063
